"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"2002/06/01","00:00","0.363","0.21","0.16","0.028","0.029","-0.101","-0.14","-0.389","0"
"2002/07/01","00:00","0.377","0.186","0.144","0.004","0.009","-0.125","-0.154","-0.39","0"
"2002/08/01","00:00","0.319","0.199","0.17","0.042","0.047","-0.077","-0.107","-0.252","0"
"2002/09/01","00:00","0.657","0.275","0.231","0.103","0.104","-0.024","-0.058","-0.442","0"
"2002/10/01","00:00","0.632","0.316","0.282","0.15","0.152","0.022","-0.01","-0.254","0"
"2002/11/01","00:00","0.484","0.226","0.18","0.049","0.053","-0.075","-0.103","-0.272","0"
"2002/12/01","00:00","0.456","0.19","0.125","-0.027","-0.025","-0.175","-0.228","-0.606","0"
"2003/01/01","00:00","0.422","0.148","0.104","-0.052","-0.048","-0.2","-0.243","-0.536","0"
"2003/02/01","00:00","0.619","0.088","0.041","-0.111","-0.109","-0.259","-0.297","-0.613","0"
"2003/03/01","00:00","0.43","0.208","0.163","0.029","0.029","-0.104","-0.145","-0.374","0"
"2003/04/01","00:00","0.646","0.319","0.263","0.121","0.127","-0.009","-0.068","-0.516","0"
"2003/05/01","00:00","0.563","0.293","0.24","0.091","0.095","-0.051","-0.094","-0.357","0"
"2003/06/01","00:00","0.511","0.319","0.261","0.137","0.138","0.016","-0.025","-0.275","0"
"2003/07/01","00:00","0.482","0.269","0.218","0.09","0.095","-0.028","-0.069","-0.255","0"
"2003/08/01","00:00","0.403","0.244","0.197","0.06","0.068","-0.062","-0.091","-0.189","0"
"2003/09/01","00:00","1.479","0.348","0.302","0.172","0.168","0.034","-0.002","-0.241","0"
"2003/10/01","00:00","0.509","0.284","0.24","0.117","0.117","-0.006","-0.041","-0.198","0"
"2003/11/01","00:00","0.516","0.225","0.184","0.052","0.055","-0.074","-0.103","-0.298","0"
"2003/12/01","00:00","0.562","0.214","0.166","0.036","0.035","-0.096","-0.142","-0.419","0"
"2004/01/01","00:00","0.407","0.122","0.077","-0.072","-0.071","-0.219","-0.262","-0.503","0"
"2004/02/01","00:00","0.38","0.09","0.045","-0.11","-0.11","-0.264","-0.316","-0.547","0"
"2004/03/01","00:00","0.446","0.129","0.071","-0.082","-0.078","-0.228","-0.268","-0.48","0"
"2004/04/01","00:00","0.378","0.174","0.117","-0.019","-0.015","-0.147","-0.189","-0.463","0"
"2004/05/01","00:00","0.374","0.19","0.133","-0.005","0.004","-0.126","-0.173","-0.381","0"
"2004/06/01","00:00","0.498","0.241","0.18","0.047","0.051","-0.079","-0.11","-0.254","0"
"2004/07/01","00:00","0.377","0.234","0.18","0.059","0.063","-0.055","-0.081","-0.181","0"
