"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1988/06/01","00:00","1.177","0.565","0.44","-0.036","-0.039","-0.514","-0.578","-0.767","0"
"1988/07/01","00:00","0.726","0.455","0.345","-0.14","-0.146","-0.633","-0.679","-0.816","0"
"1988/08/01","00:00","0.763","0.491","0.391","-0.094","-0.103","-0.594","-0.636","-0.886","0"
"1988/09/01","00:00","0.903","0.488","0.391","-0.082","-0.088","-0.566","-0.6","-0.88","0"
"1988/10/01","00:00","0.833","0.494","0.397","-0.066","-0.069","-0.536","-0.572","-0.917","0"
"1988/11/01","00:00","0.961","0.458","0.348","-0.118","-0.121","-0.591","-0.639","-0.902","0"
"1988/12/01","00:00","0.711","0.394","0.281","-0.182","-0.185","-0.652","-0.7","-1.03","0"
"1989/01/01","00:00","0.811","0.47","0.36","-0.1","-0.106","-0.569","-0.615","-0.895","0"
"1989/02/01","00:00","1.061","0.507","0.394","-0.082","-0.088","-0.569","-0.612","-0.972","0"
"1989/03/01","00:00","1.144","0.501","0.412","-0.051","-0.054","-0.517","-0.569","-0.792","0"
"1989/04/01","00:00","0.9","0.467","0.366","-0.115","-0.118","-0.6","-0.642","-1.087","0"
"1989/05/01","00:00","0.747","0.525","0.415","-0.069","-0.076","-0.563","-0.597","-1.014","0"
"1989/06/01","00:00","0.757","0.528","0.406","-0.066","-0.072","-0.554","-0.594","-0.81","0"
"1989/07/01","00:00","0.763","0.546","0.433","-0.039","-0.048","-0.527","-0.572","-0.706","0"
"1989/08/01","00:00","0.891","0.607","0.531","0.056","0.049","-0.429","-0.463","-0.749","0"
"1989/09/01","00:00","1.058","0.635","0.562","0.086","0.083","-0.399","-0.432","-0.725","0"
"1989/10/01","00:00","NaN","0.616","0.501","0.01","0.01","-0.475","-0.527","NaN","11"
"1989/11/01","00:00","0.747","0.501","0.385","-0.088","-0.091","-0.563","-0.63","-0.999","0"
"1989/12/01","00:00","1.247","0.534","0.4","-0.076","-0.085","-0.566","-0.633","-0.953","0"
"1990/01/01","00:00","0.757","0.391","0.281","-0.213","-0.213","-0.71","-0.755","-1.063","0"
"1990/02/01","00:00","0.97","0.43","0.33","-0.155","-0.161","-0.652","-0.703","-1.094","0"
"1990/03/01","00:00","0.808","0.452","0.357","-0.136","-0.143","-0.639","-0.679","-0.929","0"
"1990/04/01","00:00","0.827","0.473","0.36","-0.124","-0.13","-0.621","-0.664","-0.956","0"
"1990/05/01","00:00","1.144","0.565","0.464","-0.024","-0.027","-0.514","-0.56","-0.731","0"
"1990/06/01","00:00","0.872","0.546","0.427","-0.054","-0.057","-0.545","-0.6","-0.795","0"
"1990/07/01","00:00","0.726","0.54","0.43","-0.039","-0.045","-0.521","-0.566","-0.813","0"
"1990/08/01","00:00","0.949","0.601","0.507","0.046","0.043","-0.42","-0.463","-0.719","0"
"1990/09/01","00:00","0.888","0.632","0.549","0.08","0.077","-0.396","-0.435","-0.691","0"
"1990/10/01","00:00","1.025","0.601","0.519","0.031","0.028","-0.46","-0.502","-0.944","0"
"1990/11/01","00:00","0.97","0.604","0.485","-0.005","-0.008","-0.502","-0.548","-0.801","0"
"1990/12/01","00:00","0.909","0.528","0.4","-0.094","-0.097","-0.594","-0.649","-1.051","0"
"1991/01/01","00:00","0.885","0.607","0.498","0.007","0.001","-0.496","-0.548","-0.819","0"
"1991/02/01","00:00","0.854","0.485","0.4","-0.072","-0.076","-0.554","-0.618","-1.084","0"
"1991/03/01","00:00","0.9","0.629","0.54","0.049","0.046","-0.444","-0.487","-0.862","0"
"1991/04/01","00:00","1.046","0.565","0.467","-0.015","-0.018","-0.502","-0.539","-0.783","0"
