"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1987/09/01","00:00","0.77","0.569","0.481","0.03","0.026","-0.431","-0.47","-0.62","0"
"1987/10/01","00:00","0.746","0.563","0.471","0.02","0.017","-0.44","-0.479","-0.793","0"
"1987/11/01","00:00","0.788","0.523","0.417","-0.038","-0.041","-0.501","-0.537","-0.812","0"
"1987/12/01","00:00","0.801","0.49","0.38","-0.08","-0.083","-0.547","-0.604","-0.818","0"
"1988/01/01","00:00","0.697","0.456","0.347","-0.108","-0.114","-0.571","-0.623","-0.815","0"
"1988/02/01","00:00","0.682","0.426","0.334","-0.12","-0.129","-0.595","-0.644","-0.894","0"
"1988/03/01","00:00","0.682","0.38","0.307","-0.15","-0.153","-0.611","-0.65","-0.827","0"
"1988/04/01","00:00","0.944","0.557","0.453","-0.004","-0.007","-0.467","-0.501","-0.781","0"
"1988/05/01","00:00","0.737","0.526","0.414","-0.047","-0.05","-0.513","-0.553","-0.772","0"
"1988/06/01","00:00","0.819","0.572","0.45","-0.004","-0.01","-0.47","-0.522","-0.736","0"
"1988/07/01","00:00","0.737","0.484","0.371","-0.095","-0.102","-0.571","-0.626","-0.772","0"
"1988/08/01","00:00","0.752","0.532","0.435","-0.038","-0.041","-0.516","-0.571","-0.815","0"
"1988/09/01","00:00","0.862","0.599","0.514","0.051","0.051","-0.409","-0.452","-0.653","0"
"1988/10/01","00:00","0.865","0.606","0.52","0.069","0.072","-0.376","-0.419","-0.672","0"
"1988/11/01","00:00","0.712","0.49","0.395","-0.056","-0.056","-0.504","-0.556","-0.845","0"
"1988/12/01","00:00","0.737","0.42","0.316","-0.132","-0.132","-0.583","-0.629","-0.867","0"
"1989/01/01","00:00","0.721","0.414","0.322","-0.126","-0.129","-0.577","-0.641","-0.946","0"
"1989/02/01","00:00","0.667","0.426","0.337","-0.117","-0.123","-0.586","-0.644","-0.854","0"
"1989/03/01","00:00","0.938","0.502","0.426","-0.025","-0.025","-0.473","-0.504","-0.705","0"
"1989/04/01","00:00","0.679","0.462","0.368","-0.083","-0.095","-0.562","-0.598","-0.931","0"
"1989/05/01","00:00","0.795","0.511","0.417","-0.047","-0.056","-0.531","-0.568","-0.754","0"
"1989/06/01","00:00","0.776","0.505","0.389","-0.068","-0.08","-0.55","-0.604","-0.848","0"
"1989/07/01","00:00","0.734","0.523","0.42","-0.041","-0.044","-0.507","-0.571","-0.726","0"
"1989/08/01","00:00","0.685","0.554","0.471","0.008","0.005","-0.461","-0.507","-0.665","0"
"1989/09/01","00:00","0.801","0.596","0.52","0.069","0.069","-0.382","-0.422","-0.723","0"
"1989/10/01","00:00","0.737","0.581","0.49","0.036","0.036","-0.422","-0.458","-0.757","0"
"1989/11/01","00:00","0.74","0.505","0.401","-0.053","-0.056","-0.513","-0.559","-0.787","0"
"1989/12/01","00:00","0.825","0.459","0.35","-0.117","-0.126","-0.601","-0.662","-0.824","0"
"1990/01/01","00:00","0.593","0.334","0.243","-0.22","-0.23","-0.705","-0.76","-0.973","0"
"1990/02/01","00:00","0.551","0.377","0.295","-0.169","-0.175","-0.641","-0.681","-0.9","0"
"1990/03/01","00:00","0.749","0.481","0.398","-0.068","-0.074","-0.544","-0.58","-0.772","0"
"1990/04/01","00:00","0.667","0.462","0.365","-0.098","-0.108","-0.583","-0.617","-0.885","0"
"1990/05/01","00:00","0.944","0.551","0.45","-0.013","-0.016","-0.479","-0.525","-0.736","0"
"1990/06/01","00:00","0.77","0.548","0.438","-0.019","-0.022","-0.486","-0.531","-0.699","0"
"1990/07/01","00:00","0.728","0.532","0.432","-0.016","-0.025","-0.483","-0.54","-0.803","0"
"1990/08/01","00:00","0.709","0.554","0.468","0.026","0.02","-0.425","-0.479","-0.665","0"
"1990/09/01","00:00","0.81","0.627","0.545","0.103","0.1","-0.348","-0.391","-0.592","0"
"1990/10/01","00:00","0.728","0.606","0.532","0.072","0.069","-0.391","-0.431","-0.754","0"
"1990/11/01","00:00","0.828","0.581","0.484","0.02","0.017","-0.449","-0.495","-0.867","0"
"1990/12/01","00:00","0.849","0.487","0.38","-0.092","-0.098","-0.577","-0.629","-0.891","0"
"1991/01/01","00:00","0.788","0.563","0.465","-0.007","-0.01","-0.489","-0.55","-0.845","0"
"1991/02/01","00:00","0.664","0.411","0.328","-0.138","-0.141","-0.608","-0.647","-0.876","0"
"1991/03/01","00:00","0.706","0.542","0.465","-0.001","-0.004","-0.476","-0.516","-0.726","0"
"1991/04/01","00:00","0.825","0.478","0.386","-0.086","-0.083","-0.556","-0.589","-0.79","0"
"1991/05/01","00:00","0.792","0.56","0.459","0.002","-0.001","-0.464","-0.501","-0.711","0"
"1991/06/01","00:00","0.834","0.627","0.52","0.06","0.057","-0.409","-0.452","-0.748","0"
"1991/07/01","00:00","0.947","0.612","0.52","0.06","0.057","-0.409","-0.464","-0.556","0"
"1991/08/01","00:00","0.798","0.603","0.526","0.057","0.057","-0.415","-0.464","-0.638","0"
"1991/09/01","00:00","0.859","0.66","0.584","0.118","0.118","-0.348","-0.394","-0.58","0"
"1991/10/01","00:00","0.953","0.642","0.557","0.103","0.097","-0.361","-0.4","-0.62","0"
"1991/11/01","00:00","1.099","0.636","0.535","0.075","0.072","-0.394","-0.44","-0.772","0"
"1991/12/01","00:00","0.688","0.423","0.313","-0.147","-0.156","-0.626","-0.675","-0.976","0"
"1992/01/01","00:00","0.877","0.529","0.426","-0.034","-0.047","-0.516","-0.565","-0.928","0"
"1992/02/01","00:00","0.755","0.523","0.438","-0.034","-0.034","-0.507","-0.568","-0.94","0"
"1992/03/01","00:00","0.624","0.42","0.362","-0.102","-0.111","-0.583","-0.623","-0.909","0"
"1992/04/01","00:00","0.743","0.517","0.429","-0.041","-0.038","-0.507","-0.54","-0.842","0"
"1992/05/01","00:00","0.904","0.633","0.526","0.057","0.057","-0.415","-0.461","-0.693","0"
"1992/06/01","00:00","0.862","0.66","0.557","0.09","0.087","-0.379","-0.431","-0.577","0"
"1992/07/01","00:00","0.916","0.618","0.517","0.039","0.033","-0.452","-0.507","-0.72","0"
"1992/08/01","00:00","0.846","0.66","0.587","0.106","0.097","-0.394","-0.458","-0.748","0"
"1992/09/01","00:00","1.032","0.615","0.548","0.078","0.078","-0.391","-0.431","-0.729","0"
"1992/10/01","00:00","0.813","0.676","0.599","0.139","0.136","-0.324","-0.361","-0.604","0"
"1992/11/01","00:00","0.877","0.599","0.511","0.045","0.045","-0.419","-0.449","-0.723","0"
"1992/12/01","00:00","0.977","0.499","0.404","-0.059","-0.068","-0.54","-0.592","-0.815","0"
"1993/01/01","00:00","0.984","0.56","0.471","0.008","0.008","-0.458","-0.504","-0.736","0"
"1993/02/01","00:00","0.877","0.554","0.499","0.026","0.02","-0.455","-0.501","-0.732","0"
